episode,steps,initial_cube_x_m,initial_cube_y_m,return,success_ever,table_collision_ever,bilateral_contact_fraction,student_oracle_action_mse,frame_count,file
0,149,0.48280617594718933,-0.016003241762518883,11689.654296875,1,0,0.6644295302013423,0.06263744086027145,30,episode_0000.npz
1,149,0.5317421555519104,-0.03318549692630768,12966.283203125,1,0,0.7449664429530202,0.027340291067957878,30,episode_0001.npz
2,149,0.48800143599510193,-0.049277544021606445,10577.734375,1,0,0.6375838926174496,0.07532592117786407,30,episode_0002.npz
3,149,0.5124582052230835,0.027752501890063286,12959.091796875,1,0,0.7449664429530202,0.02374112792313099,30,episode_0003.npz
4,149,0.5125568509101868,0.016966288909316063,11570.3017578125,1,0,0.6711409395973155,0.05201584845781326,30,episode_0004.npz
